student	Q#	answer	G1	G2	G3
07300f38-a596-4790-8eb9-8137bab24946	1	the bill of rights	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	2	right of freedom	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	3	declare independence from england	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	4	capitolism	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	5	executive, judicial, legistlative	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	6	the congress	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	7	it is based on population	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	8	speaker of the house	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	9	to declare war	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	10	local laws	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	11	voting and serving in the military	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	12	18	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	13	to escape religious prosicution	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	14	taxation without representation	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	15	1776	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	16	the civill war	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	17	fdr	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	18	missisippi and colorado	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	19	texas	-1	-1	-1
07300f38-a596-4790-8eb9-8137bab24946	20	13 original colonies	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	1	bill of rights	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	2	speech	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	3	declared us sovereign from uk	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	4	capitalism	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	5	judiciary	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	6	supreme court	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	7	greater population	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	8	secretary of state	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	9	oversee military	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	10	anything not expressively given power on a federal level	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	11	vote and pay taxes	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	12	18	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	13	religious freedom	-1	-1	-1
1ae479e3-4ffa-44f0-b135-5e4df4964416	14	for independence	-1	-1	-1
